Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
06061630$Magical Exemplar$Unlimited$EARTH$[Spellcaster/Effect]$$$$$4$1700$1400$$$$Each time a Spell Card is activated, place 2 Spell Counters on this card when that Spell resolves. Once per turn: You can remove any number of Spell Counters from this card; Special Summon 1 Spellcaster monster from your hand or GY whose Level is equal to the number of Spell Counters you removed.$Spellcaster$$$Continuous/Ignition$
10239627$Magical Abductor$Unlimited$EARTH$[Spellcaster/Pendulum/Effect]$$$$3$4$1700$1400$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Once per turn: You can remove 3 Spell Counters from this card; add 1 Pendulum Monster from your Deck to your hand.$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Gains 100 ATK for each Spell Counter on it. Once per turn: You can remove 3 Spell Counters from this card; add 1 Level 1 Spellcaster monster from your Deck to your hand.$Pendulum Monster/Spellcaster$$Adds from Deck to hand$Pendulum Effect /Continuous-like/Ignition-like/Monster Effect/Continuous/Ignition$
76137614$Disenchanter$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$5$2000$2300$$$$Once per turn: You can target 1 face-up Spell on the field; remove 1 Spell Counter from anywhere on the field, and if you do, return that target to the hand.$$$Returns from field to hand$Ignition$
09156135$Apprentice Magician$Unlimited$DARK$[Spellcaster/Effect]$$$$$2$400$800$$$$If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.$Spellcaster$$Activates upon Normal Summon/Activates upon Flip Summon/Activates upon Special Summon/Activates from your Graveyard$Trigger$
40737112$Dark Magician of Chaos$Unlimited$DARK$[Spellcaster/Effect]$$$$$8$2800$2600$$$$During the End Phase, if this card was Normal or Special Summoned this turn: You can target 1 Spell in your GY; add it to your hand. You can only use this effect of "Dark Magician of Chaos" once per turn. If this card destroys an opponent's monster by battle, after damage calculation: Banish that opponent's monster. If this face-up card would leave the field, banish it instead.$Spell Card$$Adds from Graveyard to hand/Activates when it destroys a monster by battle$Trigger/Condition/Unclassified$
86937530$Fairy Tail - Luna$Unlimited$LIGHT$[Spellcaster/Effect]$$$$$4$1850$1000$$$$When this card is Normal Summoned: You can add 1 Spellcaster monster with 1850 ATK from your Deck to your hand. Once per turn (Quick Effect): You can target 1 face-up monster your opponent controls; your opponent can send 1 card with that monster's name from their Deck or Extra Deck to the GY to negate this effect, otherwise return both this card and that monster to the hand.$Spellcaster$$Activates upon Normal Summon/Adds from Deck to hand/Sends from your opponent's Deck to your opponent's Graveyard/Sends from your opponent's Extra Deck to the Graveyard/Returns itself from field to hand/Returns from your opponent's field to your opponent's hand$Trigger/Quick$
00423585$Summoner Monk$Unlimited$DARK$[Spellcaster/Effect]$$$$$4$800$1600$$$$While this card is face-up on the field, it cannot be Tributed. If this card is Normal or Flip Summoned: Change this card to Defense Position. Once per turn: You can discard 1 Spell; Special Summon 1 Level 4 monster from your Deck, but that monster cannot attack this turn.$$$Activates upon Normal Summon/Activates upon Flip Summon/Cannot be Tributed/Changes battle positions/Discards for cost$Continuous/Trigger/Ignition$
14824019$Spellbook Magician of Prophecy$Unlimited$WATER$[Spellcaster/Effect]$$$$$2$500$400$$$$If this card is Normal Summoned or flipped face-up: Add 1 "Spellbook" Spell from your Deck to your hand.$Supports archetypes /Spellbook$$Activates upon Normal Summon/Activates upon being flipped face-up/Adds from Deck to hand$Trigger$
30608985$Magical Undertaker$Unlimited$DARK$[Spellcaster/Flip/Effect]$$$$$2$400$400$$$$FLIP: You can target 1 Level 4 or lower Spellcaster monster in your GY; Special Summon that target.$Spellcaster$$Activates upon being flipped face-up$Flip$
31560081$Magician of Faith$Unlimited$LIGHT$[Spellcaster/Flip/Effect]$$$$$1$300$400$$$$FLIP: Target 1 Spell in your GY; add that target to your hand.$Spell Card$$Returns from Graveyard to hand$Flip$
94145021$Droll & Lock Bird$Unlimited$WIND$[Spellcaster/Effect]$$$$$1$0$0$$$$If a card(s) is added from the Main Deck to your opponent's hand, except during the Draw Phase (Quick Effect): You can send this card from your hand to the GY; for the rest of this turn, cards cannot be added from either player's Main Deck to the hand.$$$Activates if your opponent draws a card/Sends itself from hand to Graveyard for cost/Prevents adding cards from Deck to hand$Quick$
38943357$Spell Power Mastery$Unlimited$SPELL$$$$$$$$$$$$Add 1 "Endymion" card from your Deck to your hand, then you can count the number of "Spell Power Mastery" and "Spell Power Grasp" you control and/or have in your GY, and place that many Spell Counters among card(s) you control that you can place a Spell Counter on. You can only activate 1 "Spell Power Mastery" per turn.$Supports archetypes /Endymion$$Adds from Deck to hand$Effect/Condition$
65342096$Endymion's Lab$Unlimited$SPELL$$$$$$$$$Continuous$$$This card's name becomes "Magical Citadel of Endymion" while in the Spell & Trap Zone. Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Once per turn, after damage calculation, if your Spellcaster monster is destroyed by battle: You can remove 6 Spell Counters from your field; Special Summon 1 Level 7 or higher Spellcaster monster from your hand or Deck. You can only activate 1 "Endymion's Lab" per turn.$Magical Citadel of Endymion/Spellcaster$$Activates if destroyed by battle$Continuous-like/Trigger-like/Condition$
39910367$Magical Citadel of Endymion$Unlimited$SPELL$$$$$$$$$Field$$$Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. If a card with a Spell Counter(s) is destroyed, place its Spell Counters on this card. Once per turn, if you would activate a card effect by removing a Spell Counter(s) from a card you control, you can remove that many Spell Counters from this card instead. If this card would be destroyed, you can remove 1 Spell Counter from this card instead.$$$$Continuous-like$
75014062$Spell Power Grasp$Unlimited$SPELL$$$$$$$$$$$$Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target, then you can add 1 "Spell Power Grasp" from your Deck to your hand. You can only activate 1 "Spell Power Grasp" per turn.$$$Adds from Deck to hand/Adds copies of itself to hand$Effect/Condition$
17896384$Arcane Barrier$Unlimited$SPELL$$$$$$$$$Continuous$$$Each time a face-up Spellcaster monster(s) on the field is destroyed, place 1 Spell Counter on this card (max. 4). You can send this card and 1 face-up Spellcaster monster you control to the GY; draw 1 card for each Spell Counter that was on this card.$Spellcaster$$Sends from field to Graveyard for cost/Sends itself from field to Graveyard for cost/You draw cards$Continuous-like/Ignition-like$
89739383$Spellbook of Secrets$Unlimited$SPELL$$$$$$$$$$$$Add 1 "Spellbook" card from your Deck to your hand, except "Spellbook of Secrets". You can only activate 1 "Spellbook of Secrets" per turn.$Supports archetypes /Spellbook$$Adds from Deck to hand$Effect/Condition$
25123082$Spellbook of Power$Unlimited$SPELL$$$$$$$$$$$$Target 1 Spellcaster monster you control; this turn, it gains 1000 ATK. And if it does, each time it destroys an opponent's monster by battle this turn: You can add 1 "Spellbook" Spell from your Deck to your hand. You can only activate 1 "Spellbook of Power" per turn.$Supports archetypes /Spellbook$$Activates when it destroys a monster by battle/Adds from Deck to hand$Effect/Trigger-like/Condition$
88616795$Spellbook of Wisdom$Unlimited$SPELL$$$$$$$$$Quick-Play$$$Target 1 Spellcaster monster on the field, then activate 1 of these effects;●That face-up monster is unaffected by other Spell effects this turn.●That face-up monster is unaffected by Trap effects this turn.$Spellcaster$$$Effect$
91819979$Magical Blast$Unlimited$SPELL$$$$$$$$$$$$Inflict 200 damage to your opponent for each Spellcaster monster you control. During your Draw Phase, if this card is in your GY, before you draw: You can give up your normal draw this turn, and if you do, add this card to your hand.$Spellcaster$$Returns itself from Graveyard to hand/Activates from your Graveyard/Replaces normal draw$Activation requirement/Effect/Trigger-like$
28553439$Magical Dimension$Unlimited$SPELL$$$$$$$$$Quick-Play$$$If you control a Spellcaster monster: Target 1 monster you control; Tribute that target, then Special Summon 1 Spellcaster monster from your hand, then you can destroy 1 monster on the field.$Spellcaster$$Tributes as an effect$Activation requirement/Effect$
73628505$Terraforming$Limited$SPELL$$$$$$$$$$$$Add 1 Field Spell from your Deck to your hand.$Field Spell Card$$Adds from Deck to hand$Effect$
86541496$Left Arm Offering$Unlimited$SPELL$$$$$$$$$$$$If you have 2 or more other cards in your hand: Banish your entire hand; add 1 Spell from your Deck to your hand. You cannot Set Spells/Traps during the turn you activate this card.$$$Adds from Deck to hand$Activation requirement/Cost/Effect/Condition$
35261759$Pot of Desires$Semi-Limited$SPELL$$$$$$$$$$$$Banish 10 cards from the top of your Deck, face-down; draw 2 cards. You can only activate 1 "Pot of Desires" per turn.$$$You draw cards$Cost/Effect/Condition$
24429467$Mythical Bestiamorph$Unlimited$TRAP$$$$$$$$$Continuous$$$Each time an opponent's monster effect is activated, place 1 Spell Counter on this card when that effect resolves. You can send this card with 6 or more Spell Counters to the GY; add 1 Spell from your Deck to your hand. You can only use this effect of "Mythical Bestiamorph" once per turn.$$$Sends itself from field to Graveyard for cost/Adds from Deck to hand$Continuous-like/Quick-like/Condition$
34029630$Pitch-Black Power Stone$Unlimited$TRAP$$$$$$$$$Continuous$$$Activate this card by placing 3 Spell Counters on it. Once per turn, during your turn: You can target 1 other face-up card on the field that you can place a Spell Counter on; remove 1 Spell Counter from this card, and if you do, place 1 Spell Counter on that target. When the last Spell Counter(s) is removed from this card, destroy it.$$$$Cost/Quick-like/Continuous-like$
94937430$Extra Buck$Unlimited$TRAP$$$$$$$$$Continuous$$$Each time a card(s) is added to your Extra Deck, place 1 Spell Counter on this card (max. 3). You can send this card with 3 Spell Counters to the GY; draw 2 cards.$$$Sends itself from field to Graveyard for cost/You draw cards$Continuous-like/Quick-like$
18446701$Gagagashield$Unlimited$TRAP$$$$$$$$$$$$Target 1 Spellcaster monster you control; equip this card to that target. Twice per turn, it cannot be destroyed by battle or card effects.$Spellcaster$$Equips self from field$Effect/Continuous-like$
00050755$Magician's Circle$Unlimited$TRAP$$$$$$$$$$$$When a Spellcaster monster declares an attack: Each player Special Summons 1 Spellcaster monster with 2000 or less ATK from their Deck in Attack Position.$Spellcaster$Spellcaster$Activates upon attack declaration$Activation requirement/Effect$
91336701$Day-Breaker the Shining Magical Warrior$Unlimited$LIGHT$[Spellcaster/Link/Effect]$2$Bottom-Left/Bottom-Right$$$$1600$- $$2 Spellcaster monsters$$If this card is Link Summoned: Place 1 Spell Counter on it. Gains 300 ATK for each Spell Counter on it. You can only activate each of the following effects of "Day-Breaker the Shining Magical Warrior" once per turn.●If a Spellcaster monster(s) is Special Summoned to a zone(s) this card points to: Place 1 Spell Counter on this card.●You can remove 2 Spell Counters from this card, then target 1 card on the field; destroy it.$Spellcaster$$Activates upon Link Summon/Activates upon Special Summon$Trigger/Continuous/Condition/Ignition$
24721709$Dwimmered Path$Unlimited$SPELL$$$$$$$$$$$$Target 1 Spellcaster Effect Monster in your GY; add it to your hand. You can only activate 1 "Dwimmered Path" per turn.$Spellcaster/Effect Monster$$Adds from Graveyard to hand$Effect/Condition$
